CaseID,weight,XSPANISH,INTERNET,Q1,Q2_A,Q2_B,Q2_C,Q2_D,Q2_E,Q2_Refused,Q3,Q4,Q5_A,Q5_B,Q5_C,Q5_D,Q5_E,Q5_F,Q5_Refused,Q7,Q9,Q10,Q11,Q12,Q13,Q14,INTMOB,INTFREQ,SMART1,SNSINT2,PPAGE,PPEDUCAT,PPETHM,PPGENDER,PPINCIMP,PPMSACAT,PPSTATEN,PPWORK
474,1.2018,1,1,6,0,1,0,0,0,0,5,2,0,0,0,1,0,0,0,2,2,2,2,2,2,6,1,2,1,1,60,3,1,1,16,0,88,1
475,1.192,1,1,2,0,0,0,1,0,0,5,1,1,1,1,1,0,0,0,5,2,3,3,2,2,5,1,1,1,1,49,3,4,1,13,1,59,1
476,.9557,1,1,5,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,2,1,2,1,1,2,3,1,1,1,1,55,3,1,1,8,0,31,1
478,.7123,1,1,2,0,0,0,1,0,0,5,2,1,1,1,0,0,0,0,2,1,2,2,1,2,6,1,1,1,1,65,4,1,1,16,1,34,5
479,1.0621,1,1,6,0,0,0,1,0,0,4,2,0,0,0,1,0,0,0,6,3,2,3,5,2,5,1,1,1,2,62,3,3,2,1,1,57,5
480,1.2394,1,1,6,0,0,0,0,1,0,5,3,0,1,0,0,0,0,0,2,3,1,2,1,2,6,1,2,1,1,27,3,1,1,9,1,87,1
481,.9944,1,1,6,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,2,3,3,2,2,3,6,1,2,1,1,87,3,4,1,12,1,54,5
482,.6424,1,2,6,0,0,0,1,0,0,5,3,0,0,0,0,0,1,0,2,3,2,2,2,2,6,1,4,1,1,60,4,1,2,16,1,31,5
483,.8138,1,2,2,0,0,0,1,0,0,5,2,1,0,1,1,0,0,0,6,3,2,2,2,3,6,2,4,2,1,62,2,1,2,11,0,35,5
484,1.8647,1,2,6,0,0,0,0,1,0,5,3,0,0,0,0,0,1,0,6,3,2,2,5,2,6,2,3,2,2,22,1,2,1,2,1,33,4
485,1.0475,1,2,2,0,0,0,1,0,0,5,3,1,1,1,1,0,0,0,6,3,2,3,2,2,6,1,2,1,1,26,3,1,2,7,1,54,7
486,.9982,1,1,2,0,0,0,1,0,0,5,2,1,0,1,0,0,0,0,2,1,2,2,1,2,6,2,2,2,2,31,3,1,2,9,1,93,1
487,1.0005,1,1,6,1,0,1,0,0,0,2,2,0,0,0,1,0,0,0,2,1,1,2,2,2,6,1,2,1,2,42,4,1,1,15,0,64,1
488,.8143,1,1,2,0,1,0,0,0,0,5,3,0,0,0,1,0,0,0,2,1,2,2,1,2,1,1,3,1,1,50,4,4,1,17,1,93,1
489,1.3491,1,1,2,0,0,0,1,0,0,5,2,0,0,0,1,0,0,0,6,1,2,2,1,2,1,1,1,1,1,34,3,4,1,16,1,59,1
490,.8888,1,2,5,0,0,0,0,1,0,5,3,0,1,1,0,0,0,0,6,3,3,3,5,3,6,1,4,1,1,52,3,1,2,16,1,33,1
491,.8966,1,1,2,0,0,0,1,0,0,5,2,1,1,1,1,0,0,0,2,1,2,2,2,2,6,1,2,1,1,33,4,1,2,11,0,31,1
493,.8922,1,1,2,0,0,1,0,0,0,3,2,1,1,1,0,0,0,0,2,1,1,1,2,2,1,1,2,1,1,49,3,1,1,12,1,45,1
494,.9697,1,1,6,0,0,0,1,0,0,5,3,0,0,0,0,0,1,0,2,3,3,3,1,2,6,1,2,1,1,44,2,1,1,5,1,72,1
495,.6586,1,3,6,0,0,0,0,1,0,5,3,0,0,0,0,0,1,0,6,3,3,3,1,3,6,2,5,2,2,67,3,1,2,4,1,59,5
496,.7317,1,1,2,0,0,0,1,0,0,5,2,0,0,0,0,0,1,0,2,3,2,2,1,2,6,1,1,1,2,73,4,1,1,19,1,21,5
497,.7098,1,1,2,0,0,0,1,0,0,5,2,0,0,0,0,0,1,0,2,3,2,2,1,2,6,2,2,2,1,77,3,4,1,12,1,86,5
498,.8352,1,1,6,0,0,0,1,0,0,5,3,0,0,0,0,1,0,0,6,3,3,2,1,2,6,2,3,2,1,56,2,1,2,5,1,31,6
499,.9358,1,1,6,0,0,0,1,0,0,5,3,1,1,1,1,0,0,0,6,3,3,3,1,2,6,1,2,1,1,32,3,1,2,13,1,74,7
